Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
3/4/15,181.7570085,181.8347663,180.5994337,181.6101532,114497200,4,2,10,3,2015
3/5/15,181.9470461,182.1025485,181.2818803,181.8088379,76873000,5,3,10,3,2015
3/6/15,180.9104026,181.3596156,178.9062449,179.2517853,188128000,6,4,10,3,2015
3/9/15,179.4591594,180.3662063,179.2950231,179.994751,89818900,9,0,11,3,2015
3/10/15,178.5692925,178.6556709,177.0316028,177.0747986,157121300,10,1,11,3,2015
3/11/15,177.3426642,177.5240814,176.5738256,176.6602173,110145700,11,2,11,3,2015
3/12/15,177.316715,178.9753323,177.2648853,178.9062347,93993500,12,3,11,3,2015
3/13/15,178.6212081,179.6232805,176.7293433,177.8091736,162410900,13,4,11,3,2015
3/16/15,178.5693471,180.2797943,177.8350574,180.1847687,136099200,16,0,12,3,2015
3/17/15,179.4159534,180.0465706,178.8026041,179.6492004,94510400,17,1,12,3,2015
3/18/15,179.1567689,182.5085657,178.4915898,181.8088379,228808500,18,2,12,3,2015
3/19/15,181.3769366,181.8175026,180.573536,180.9795532,117917300,19,3,12,3,2015
3/20/15,181.96964,183.1063516,181.7787405,182.5770416,177715100,20,4,12,3,2015
3/23/15,182.5856628,183.1843918,182.2212219,182.2212219,71784500,23,0,13,3,2015
3/24/15,182.0911234,182.568359,181.1279532,181.1973724,77805300,24,1,13,3,2015
3/25/15,181.4142639,181.6572245,178.4987236,178.542099,159521700,25,2,13,3,2015
3/26/15,177.8479522,179.0714277,177.1190571,178.1169434,153067200,26,3,13,3,2015
